flag,start,end,n_samples,duration_minutes,max_intra_event_gap_minutes,continuity_gap_definition_minutes,continuity_gap_minutes
WTI,2020-01-25 11:00:00,2020-01-25 11:00:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-25 17:45:00,2020-01-25 17:45:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-25 18:30:00,2020-01-25 18:45:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-25 19:15:00,2020-01-25 19:15:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-25 20:00:00,2020-01-25 20:30:00,3,30.0,15.0,15.0,15.0
WTI,2020-01-25 21:00:00,2020-01-25 21:45:00,4,45.0,15.0,15.0,15.0
WTI,2020-01-25 22:30:00,2020-01-26 00:45:00,10,135.0,15.0,15.0,15.0
WTI,2020-01-26 01:30:00,2020-01-26 01:45:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-26 02:15:00,2020-01-26 04:45:00,11,150.0,15.0,15.0,15.0
WTI,2020-01-26 05:15:00,2020-01-26 06:45:00,7,90.0,15.0,15.0,15.0
WTI,2020-01-26 07:15:00,2020-01-26 09:45:00,11,150.0,15.0,15.0,15.0
WTI,2020-01-26 10:15:00,2020-01-26 10:45:00,3,30.0,15.0,15.0,15.0
WTI,2020-01-26 11:15:00,2020-01-26 11:15:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-26 15:45:00,2020-01-26 17:15:00,7,90.0,15.0,15.0,15.0
WTI,2020-01-26 18:00:00,2020-01-26 21:15:00,14,195.0,15.0,15.0,15.0
WTI,2020-01-26 21:45:00,2020-01-27 04:15:00,27,390.0,15.0,15.0,15.0
WTI,2020-01-27 05:00:00,2020-01-27 13:00:00,34,480.0,15.0,15.0,15.0
WTI,2020-01-27 14:00:00,2020-01-27 14:00:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-27 14:45:00,2020-01-27 15:15:00,3,30.0,15.0,15.0,15.0
WTI,2020-01-27 15:45:00,2020-01-27 16:15:00,3,30.0,15.0,15.0,15.0
WTI,2020-01-27 16:45:00,2020-01-28 00:15:00,31,450.0,15.0,15.0,15.0
WTI,2020-01-28 00:45:00,2020-01-28 10:15:00,39,570.0,15.0,15.0,15.0
WTI,2020-01-28 10:45:00,2020-01-28 11:15:00,3,30.0,15.0,15.0,15.0
WTI,2020-01-28 11:45:00,2020-01-28 11:55:00,2,10.0,10.0,15.0,15.0
WTI,2020-01-28 12:03:00,2020-01-28 12:03:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-28 17:00:00,2020-01-28 17:00:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-28 17:45:00,2020-01-28 19:00:00,6,75.0,15.0,15.0,15.0
WTI,2020-01-28 19:30:00,2020-01-28 20:30:00,5,60.0,15.0,15.0,15.0
WTI,2020-01-28 21:00:00,2020-01-28 22:00:00,5,60.0,15.0,15.0,15.0
WTI,2020-01-28 22:30:00,2020-01-28 23:00:00,3,30.0,15.0,15.0,15.0
WTI,2020-01-28 23:30:00,2020-01-28 23:45:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-29 00:15:00,2020-01-29 00:30:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-29 01:30:00,2020-01-29 02:00:00,3,30.0,15.0,15.0,15.0
WTI,2020-01-29 02:30:00,2020-01-29 02:45:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-29 03:45:00,2020-01-29 04:45:00,5,60.0,15.0,15.0,15.0
WTI,2020-01-29 05:30:00,2020-01-29 05:45:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-29 06:15:00,2020-01-29 11:30:00,22,315.0,15.0,15.0,15.0
WTI,2020-01-29 12:00:00,2020-01-29 13:26:00,7,86.0,15.0,15.0,15.0
WTI,2020-01-29 13:45:00,2020-01-29 14:30:00,7,45.0,15.0,15.0,15.0
WTI,2020-01-29 15:00:00,2020-01-29 15:00:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-29 16:30:00,2020-01-29 16:45:00,2,15.0,15.0,15.0,15.0
WTI,2020-01-29 17:30:00,2020-01-29 17:30:00,1,0.0,0.0,15.0,15.0
WTI,2020-01-29 18:00:00,2020-01-29 19:15:00,6,75.0,15.0,15.0,15.0
WTI,2020-01-29 20:00:00,2020-01-29 21:00:00,5,60.0,15.0,15.0,15.0
